id,circ_mv,up_limit
000751.SZ,475125.7785,3.71
000753.SZ,430302.7848,4.77
000755.SZ,323323.2781,5.83
000756.SZ,990058.8292,24.7
000757.SZ,202422.2658,4.36
000758.SZ,1092977.6472,6.11
000759.SZ,308181.8318,5.17
000761.SZ,1538908.49,4.57
000766.SZ,431919.2969,5.6
000767.SZ,917356.4414,3.47
000777.SZ,478496.7121,13.73
000778.SZ,1807797.0199,5.1
000779.SZ,444128.3646,12.99
000782.SZ,265654.2304,5.53
000785.SZ,1152618.5604,4.61
000788.SZ,417787.1849,7.71
000789.SZ,707279.3224,9.76
000790.SZ,283487.8771,5.04
000791.SZ,715129.0492,5.79
000795.SZ,708552.5644,6.88
000798.SZ,429110.4811,12.9
000801.SZ,702668.1658,7.56
000802.SZ,436433.8056,6.71
000803.SZ,310306.5732,12.03
000812.SZ,427095.9497,6.12
000815.SZ,814848.277,12.89
000816.SZ,450550.1395,3.66
000820.SZ,112473.8557,4.3
000821.SZ,1013969.4535,19.47
000823.SZ,495062.1412,10.14
000825.SZ,2375305.4195,4.59
000826.SZ,461756.0387,3.56
000828.SZ,1047831.7671,11.09
000829.SZ,1011840.113,10.87
000830.SZ,1655995.2912,12.44
000833.SZ,255585.4749,7.44
000836.SZ,349243.5597,3.18
000837.SZ,731413.7338,11.61
000838.SZ,501592.547,5.24
000848.SZ,960142.1064,9.81
000850.SZ,361313.7403,4.21
000851.SZ,623590.1434,6.06
000852.SZ,659496.3664,8.03
000856.SZ,216558.0,10.49
000859.SZ,447923.8855,5.5
000861.SZ,457062.097,2.12
000862.SZ,378521.432,8.31
000863.SZ,441670.5103,4.09
000869.SZ,1437470.736,34.87
000875.SZ,1364688.0266,6.14
000877.SZ,1616238.7539,9.76
000878.SZ,2126251.7867,13.76
000880.SZ,165405.24,11.22
000881.SZ,609931.813,8.65
000882.SZ,479035.9028,1.93
000885.SZ,938076.3306,16.07
000886.SZ,549207.7375,6.19
000888.SZ,474221.7918,9.9
000890.SZ,181639.6229,4.76
000892.SZ,331960.624,5.14
000893.SZ,1929834.0407,26.21
000899.SZ,809812.5408,9.13
000900.SZ,684510.1361,4.96
000905.SZ,582319.3561,8.64
000906.SZ,696580.0654,11.29
000908.SZ,222080.7688,3.12
000910.SZ,457397.336,9.2
000911.SZ,343201.7123,11.65
000912.SZ,738528.0,5.18
000913.SZ,877589.838,21.29
000915.SZ,897013.7101,42.13
000917.SZ,898566.2042,6.97
000919.SZ,398271.1949,8.7
000920.SZ,384843.48,10.03
000921.SZ,2211036.2831,26.94
000922.SZ,784643.9125,14.75
000923.SZ,901027.6805,15.79
000925.SZ,417351.1716,8.37
000926.SZ,405805.9977,4.77
000929.SZ,172194.1647,10.2
000930.SZ,1503711.5068,8.91
000931.SZ,445476.6133,6.57
000935.SZ,1403203.3321,20.22
000936.SZ,596124.6495,7.4
000948.SZ,723336.5688,20.88
000949.SZ,461673.6408,3.62
000950.SZ,1368722.2792,8.71
000951.SZ,1844398.1128,17.27
000952.SZ,238727.4048,7.63
000953.SZ,196241.4965,5.9
000955.SZ,241462.6812,4.94
000958.SZ,2454795.9697,5.02
000959.SZ,2297082.6403,4.2
000961.SZ,697448.5781,2.01
000962.SZ,484914.166,12.1
000965.SZ,478337.1157,4.74
000966.SZ,733760.6799,6.17
000967.SZ,1712763.0622,5.93
000968.SZ,788514.6679,8.97
000969.SZ,924181.0595,9.91
000970.SZ,1490479.7977,13.49
000972.SZ,262236.4169,3.74
000973.SZ,433395.1857,4.93
000978.SZ,255996.9187,7.82
000985.SZ,209627.0715,17.79
000989.SZ,871837.4827,14.58
000990.SZ,1017153.0635,9.21
000993.SZ,422597.4167,10.57
000998.SZ,2003592.3725,17.01
001201.SZ,226540.7171,27.14
001202.SZ,57638.126,15.76
001203.SZ,506574.567,12.78
001205.SZ,243820.096,22.99
001206.SZ,173136.0465,16.36
001207.SZ,101042.5137,17.27
001208.SZ,238395.504,10.51
001209.SZ,62526.7572,17.07
001210.SZ,103466.2643,27.7
001211.SZ,80372.1448,23.54
001212.SZ,144056.7765,28.91
001215.SZ,293943.884,71.5
001216.SZ,81164.0763,14.18
001217.SZ,158448.0006,13.11
001218.SZ,166688.7612,24.77
001219.SZ,132613.5465,25.1
001222.SZ,71678.2,23.12
001223.SZ,114891.84,75.77
001225.SZ,72588.932,49.39
001226.SZ,49709.4221,29.29
001227.SZ,866427.7884,3.44
001228.SZ,216715.2056,43.45
001229.SZ,82475.0,36.29
001230.SZ,68534.7574,27.07
001231.SZ,51800.0,22.79
001234.SZ,64004.8734,24.22
001236.SZ,151872.1114,16.58
001238.SZ,58685.0,23.47
001255.SZ,81240.0,44.68
001256.SZ,62464.932,19.27
001258.SZ,220733.334,10.41
001259.SZ,49279.525,29.33
001260.SZ,60116.25,23.0
001266.SZ,72509.6988,26.98
001267.SZ,222448.7521,6.77
001268.SZ,57177.6847,23.31
001269.SZ,310238.3552,99.33
001270.SZ,337706.2335,132.89
001278.SZ,66166.5426,23.53
001283.SZ,89980.0,49.49
001287.SZ,514123.6007,30.69
001288.SZ,88522.1062,17.46
001289.SZ,245471.6183,20.25
001296.SZ,71291.4915,20.83
001298.SZ,78312.0,35.89
001299.SZ,73398.5,17.22
001300.SZ,76850.3575,13.87
001301.SZ,458762.2968,77.7
001308.SZ,190798.1723,29.25
001309.SZ,126640.0,69.65
001313.SZ,195389.9229,9.87
001314.SZ,134652.6025,42.19
001316.SZ,71660.0,39.41
001317.SZ,103562.16,38.43
001318.SZ,94313.8,14.67
001319.SZ,72396.8,22.53
001322.SZ,174766.6163,19.9
001323.SZ,135033.75,37.13
001328.SZ,135142.9482,35.24
001330.SZ,259509.1844,10.38
001331.SZ,75690.0,27.75
001332.SZ,117800.0,64.79
001333.SZ,84640.0,29.1
001336.SZ,55558.5275,30.42
001337.SZ,227700.0,41.75
001338.SZ,203702.7178,17.86
001339.SZ,158327.0,28.2
001360.SZ,95803.0527,21.09
001366.SZ,66295.05,18.07
001367.SZ,83991.5268,55.46
001368.SZ,65884.0,25.88
001696.SZ,575961.8477,7.24
001896.SZ,594351.5985,4.95
001914.SZ,1640190.1352,17.02
002002.SZ,775050.6445,2.75
002003.SZ,749401.0152,9.53
002004.SZ,992426.9541,5.81
002006.SZ,861162.72,20.81
002009.SZ,446509.5708,13.2
002010.SZ,1517288.5318,6.18
002011.SZ,1175239.3925,14.12
002012.SZ,278056.434,6.56
002014.SZ,535365.5089,9.8
002016.SZ,527530.3521,7.17
002017.SZ,663103.742,16.38
002020.SZ,947842.709,15.88
002022.SZ,584072.9641,12.5
002023.SZ,586759.6601,9.79
002026.SZ,375324.9349,9.65
002029.SZ,447971.9515,6.81
002030.SZ,1747290.3098,13.7
002033.SZ,534644.2161,10.7
002034.SZ,734294.3338,18.93
002035.SZ,540121.9451,7.61
002036.SZ,948644.6002,9.93
002037.SZ,438882.3944,9.98
002039.SZ,587892.4233,15.13
002040.SZ,357167.4984,8.12
002041.SZ,1446720.0,18.08
002042.SZ,535714.6268,3.47
002046.SZ,614012.7703,12.88
002047.SZ,457873.8545,3.76
002048.SZ,679581.5639,14.32
002051.SZ,1684917.1561,14.98
002053.SZ,957892.1395,12.36
002054.SZ,261703.2374,7.63
002055.SZ,473880.1783,8.86
002058.SZ,152706.6723,11.74
002059.SZ,610678.1,7.12
002060.SZ,796862.1737,7.29
002061.SZ,1160329.42,6.88
002062.SZ,527913.9401,5.98
002063.SZ,1230647.9359,9.26
002065.SZ,2227513.842,8.44
002066.SZ,263108.992,12.53
002067.SZ,370818.5421,3.86
002068.SZ,713796.2989,10.7
002072.SZ,171565.1964,7.33
002073.SZ,559127.492,6.53
002076.SZ,259160.0333,2.75
002077.SZ,869362.0725,16.48
002079.SZ,989904.5624,13.64
002081.SZ,1419186.155,5.91
002082.SZ,275562.3613,8.42
002084.SZ,260259.3,4.42
002085.SZ,1272091.0522,6.53
002088.SZ,860227.0453,20.97
002090.SZ,454065.3083,12.5
002093.SZ,779151.9375,8.51
002094.SZ,254086.906,4.05
002095.SZ,536138.924,23.43
002096.SZ,458539.445,13.59
002097.SZ,605978.8574,6.84
002098.SZ,213726.0,6.57
002101.SZ,932869.5546,19.4
002103.SZ,246985.1774,6.45
002104.SZ,522844.4139,9.71
002105.SZ,217415.0,6.49
002106.SZ,578093.9385,9.03
002107.SZ,358858.4895,6.93
002108.SZ,740573.1853,4.87
002109.SZ,468560.4311,4.9
002111.SZ,429771.7302,9.94
002112.SZ,253115.9741,10.82
002114.SZ,219258.978,7.46
002115.SZ,436368.9425,6.82
002116.SZ,584215.3928,15.43
002117.SZ,500760.872,10.1
002119.SZ,466853.296,13.68
002123.SZ,914660.5607,14.74
002124.SZ,730479.378,5.23
002125.SZ,667999.3086,12.39
002126.SZ,978900.0014,14.45
002127.SZ,871681.5389,4.81
002132.SZ,548442.429,4.31
002133.SZ,267144.9597,3.82
002134.SZ,222739.8898,9.97
002135.SZ,766823.4247,7.71
002136.SZ,241692.2285,12.41
002137.SZ,274176.0277,7.72
002138.SZ,1558676.5575,23.64
002139.SZ,1142485.3074,11.96
002140.SZ,512784.6888,10.48
002141.SZ,415284.286,4.03
002144.SZ,153758.0596,12.27
002146.SZ,666305.151,1.88
002148.SZ,267694.8424,6.52
002149.SZ,765402.3816,17.25
002150.SZ,636073.1628,19.7
002151.SZ,1269850.6449,35.81
002153.SZ,2266189.6524,20.26
002154.SZ,663671.1709,6.74
002155.SZ,1745184.6703,15.97
002156.SZ,2442464.5083,20.22
002158.SZ,1208520.9013,24.93
002159.SZ,229680.231,18.3
002160.SZ,309181.2894,4.46
002161.SZ,354589.2741,5.47
002162.SZ,376958.7451,4.48
002164.SZ,262090.6188,6.0
